date,SPY_close_20_sma,SPY_close_50_sma,SPY_rsi,SPY_macd,SPY_boll_ub,SPY_boll_lb,AAPL_close_20_sma,AAPL_close_50_sma,AAPL_rsi,AAPL_macd,AAPL_boll_ub,AAPL_boll_lb
1993-02-05,25.110129992167156,25.110129992167156,96.59165489092732,0.031412751213309775,25.60262663324747,24.61763335108684,25.110125223795574,25.110125223795574,96.59042443443323,0.03141044209397492,25.602590432504023,24.617660015087125
1993-02-08,25.143679210117885,25.143679210117885,96.59165489092732,0.03376869514267611,25.627045377668377,24.66031304256739,25.14367130824498,25.14367130824498,96.59042443443323,0.03376599747151232,25.62700469772168,24.660337918768278
1993-02-09,25.146823167800903,25.146823167800903,69.22706930343736,0.02642811403353562,25.594686545064093,24.698959790537714,25.146815538406372,25.146815538406372,69.22781460347916,0.02642619704590743,25.594648654223793,24.69898242258895
1993-02-10,25.153182559543186,25.153182559543186,70.9967199905002,0.02269051547719414,25.573854416442167,24.732510702644205,25.153175565931534,25.153175565931534,70.99770254566369,0.02268935752703527,25.57381957857672,24.732531553286346
1993-02-11,25.170598793029786,25.170598793029786,76.16321077292575,0.026059484944230604,25.58222369745454,24.75897388860503,25.170594024658204,25.170594024658204,76.1648217942182,0.02605976649824271,25.582197401248195,24.758990648068213
1993-02-12,25.167235807939008,25.167235807939008,58.52128466270934,0.017806940260751247,25.558374122569695,24.77609749330832,25.167232340032403,25.167232340032403,58.52190138009165,0.01780795322948947,25.558349772900435,24.77611490716437
1993-02-16,25.111594994862873,25.111594994862873,32.218419833811396,-0.02331519170611429,25.64795707184257,24.575232917883177,25.11159038543701,25.11159038543701,32.218067379292265,-0.023315123096882218,25.647944303331137,24.575236467542886
1993-02-17,25.0631590623122,25.0631590623122,31.79085028927804,-0.054498411693696625,25.68421030419722,24.44210782042718,25.06315539433406,25.06315539433406,31.791102944202436,-0.05449764370295185,25.684196358914594,24.442114429753527
1993-02-18,25.020383971078054,25.020383971078054,31.342855680849198,-0.07815283943481077,25.697509313279483,24.343258628876626,25.020381246294296,25.020381246294296,31.343151226342343,-0.07815144737965696,25.69749455071749,24.3432679418711
1993-02-19,24.989184443155924,24.989184443155924,36.18423055365254,-0.08976767218057802,25.684995805801915,24.293373080509934,24.989181518554688,24.989181518554688,36.18374624604674,-0.0897667327295899,25.684982541046605,24.29338049606277
1993-02-22,24.967388033866882,24.967388033866882,40.68678741772035,-0.09211239908488267,25.66185322152337,24.272922846210395,24.96738588809967,24.96738588809967,40.687131378983445,-0.09211088943449752,25.66183984180553,24.27293193439381
1993-02-23,24.94711954453412,24.94711954453412,40.07746986762953,-0.09384776594657396,25.639993610422852,24.25424547864539,24.947117973776425,24.947117973776425,40.077741858155726,-0.09384595820971597,25.639980339851448,24.254255607701403
1993-02-24,24.946716202629936,24.946716202629936,53.556220391337924,-0.07403562513427886,25.618911493972874,24.274520911287,24.946715990702312,24.946715990702312,53.55694864207105,-0.07403264923899044,25.618899873098687,24.274532108305937
1993-02-25,24.949137035169098,24.949137035169098,55.35897576901773,-0.05451886255991312,25.602734249457132,24.295539820881064,24.94913693478233,24.94913693478233,55.358971022989785,-0.05451637101585405,25.60272309874812,24.295550770816543
1993-02-26,24.953076553344726,24.953076553344726,56.56863528879273,-0.036522987162666,25.59021645513878,24.315936651550672,24.95307626724243,24.95307626724243,56.568446558165846,-0.03652127198492394,25.590205338039777,24.315947196445084
1993-03-01,24.962763214111327,24.95328612554641,53.448341367874725,-0.026842050022498398,25.593643220730172,24.33188320749248,24.96276264190674,24.953285853068035,53.44829236033671,-0.02684070286603557,25.59363210857237,24.33189317524111
1993-03-02,24.98213748931885,24.970288796858355,64.51497678625194,0.005782192200257441,25.633522004063693,24.330752974574004,24.982136535644532,24.97028923034668,64.51539462760353,0.005784261881672137,25.63351292904038,24.330760142248685
